flightTime,gyroX,gyroY,gyroZ,accelerationX,accelerationY,accelerationZ,orientationX,orientationY,orientationZ,temperature,pressure,altitude,yServo,zServo,voltage
0.00,6251.00,362.00,-6173.00,9252.00,-1720.00,24104.00,9.08,5.72,10.76,24.20,100946.00,31.02,48.00,117.00,6.00
0.14,10504.00,17900.00,3953.00,-4996.00,32767.00,-1756.00,-7.99,77.52,-81.74,24.20,100946.00,30.77,48.00,117.00,6.01
0.28,4010.00,-3970.00,6277.00,-1996.00,20020.00,5804.00,-1.37,70.90,71.34,24.20,100952.00,31.35,48.00,117.00,6.00
0.42,5900.00,-2061.00,2765.00,624.00,14660.00,5172.00,3.49,68.39,69.02,24.20,100948.00,31.27,48.00,117.00,6.00
0.55,7727.00,-2089.00,1178.00,936.00,16628.00,5112.00,4.32,69.64,70.49,24.20,100945.00,31.69,48.00,117.00,6.19
0.69,6354.00,-3342.00,-1511.00,936.00,15544.00,4928.00,5.56,68.83,69.94,24.20,100946.00,31.60,48.00,117.00,6.04
0.83,6288.00,-486.00,452.00,1024.00,15616.00,4520.00,4.29,70.89,71.78,24.20,100945.00,31.86,48.00,117.00,6.01
0.96,4577.00,-2168.00,1005.00,-964.00,17012.00,3804.00,-0.56,74.72,75.90,24.20,100942.00,31.44,48.00,117.00,6.01
1.10,-116.00,-1442.00,2705.00,796.00,15496.00,3760.00,4.91,72.16,73.43,24.20,100944.00,31.77,48.00,117.00,6.00
1.23,7874.00,491.00,-63.00,716.00,16252.00,2584.00,4.94,77.69,79.00,24.20,100946.00,31.77,48.00,117.00,6.00
1.37,2443.00,-3030.00,346.00,880.00,17236.00,2852.00,5.75,77.24,78.90,24.20,100945.00,31.60,48.00,117.00,6.00
1.50,3370.00,-1637.00,121.00,960.00,17892.00,2900.00,4.76,78.39,79.81,24.20,100938.00,32.19,48.00,117.00,6.00
1.64,-971.00,-3273.00,-908.00,2080.00,15316.00,4680.00,10.04,68.37,71.29,24.20,100943.00,32.27,48.00,117.00,6.00
1.77,2748.00,-1128.00,-789.00,884.00,14816.00,3136.00,6.39,74.18,76.00,24.20,100948.00,32.27,48.00,117.00,6.00
1.91,4896.00,-1123.00,1501.00,1256.00,14480.00,4492.00,7.04,69.14,71.02,24.20,100942.00,32.27,48.00,117.00,6.00
2.05,4635.00,-372.00,1366.00,1508.00,17576.00,7356.00,7.52,63.19,65.10,24.20,100939.00,32.02,48.00,117.00,6.00
2.18,4693.00,-2911.00,2063.00,492.00,17424.00,4812.00,4.82,70.20,71.97,24.10,100934.00,32.35,48.00,117.00,6.00
2.32,4359.00,2531.00,1564.00,1176.00,13920.00,4792.00,8.41,67.55,69.88,24.10,100939.00,32.02,48.00,117.00,6.00
2.45,1695.00,2239.00,2212.00,1700.00,14432.00,4400.00,9.86,70.23,73.17,24.10,100945.00,32.35,48.00,117.00,6.00
2.59,5661.00,411.00,-546.00,2444.00,17236.00,6720.00,11.29,64.28,67.28,24.10,100944.00,32.10,48.00,117.00,6.00
2.72,2226.00,-4622.00,-2644.00,3320.00,16708.00,7620.00,13.89,60.64,64.57,24.10,100943.00,31.69,48.00,117.00,6.06
2.86,5517.00,-3403.00,-1527.00,1744.00,14132.00,6572.00,10.24,61.69,64.28,24.10,100939.00,32.02,48.00,117.00,6.00
3.00,5321.00,-2706.00,-579.00,1544.00,13792.00,4300.00,9.95,68.03,70.78,24.10,100935.00,32.02,48.00,117.00,6.00
3.14,7469.00,-4290.00,-1009.00,1348.00,16384.00,5704.00,9.21,66.21,68.73,24.10,100931.00,32.35,48.00,117.00,6.00
3.28,4152.00,-3915.00,-1735.00,1012.00,17608.00,6056.00,7.90,67.55,69.88,24.10,100932.00,33.19,48.00,117.00,6.00
3.41,5396.00,-1160.00,1670.00,-1160.00,15288.00,7084.00,1.26,61.14,63.70,24.10,100937.00,32.44,48.00,117.00,6.03
3.55,11489.00,-3842.00,1913.00,328.00,15296.00,3508.00,7.06,73.04,75.55,24.20,100934.00,32.61,48.00,117.00,6.00
3.69,5889.00,-1943.00,-2313.00,1360.00,15748.00,1520.00,10.51,78.08,82.21,24.20,100934.00,32.19,48.00,117.00,6.00
3.83,5291.00,-6528.00,-239.00,784.00,17120.00,3544.00,8.66,73.72,76.71,24.20,100941.00,32.35,48.00,117.00,6.00
